VSC    ISC    theta luz_dir luz_amb
0.97      2.42      0      1      2
 1.97      4.94      0      1      2
 2.71      6.79      0      1      2
 4.35      10.89     0      1      2
 5.19      13.00     0      1      2
 5.52      13.82     0      1      2
 5.52      10.90     45      1      2
 5.24      10.35     45      1      2
 4.37      8.64      45      1      2
 3.09      6.10      45      1      2
 1.87      3.69      45      1      2
 1.02      2.02      45      1      2
