#twotheta, yobs, ycal, bkg, diff
1.056000e+001,1.600000e+001,1.896806e+001,1.896806e+001,-2.968057e+000
1.058000e+001,1.600000e+001,1.898469e+001,1.898469e+001,-2.984690e+000
1.060000e+001,2.200000e+001,1.900129e+001,1.900129e+001,2.998707e+000
1.062000e+001,2.300000e+001,1.901787e+001,1.901787e+001,3.982133e+000
1.064000e+001,2.100000e+001,1.903441e+001,1.903441e+001,1.965589e+000
1.066000e+001,2.100000e+001,1.905093e+001,1.905093e+001,1.949074e+000
1.068000e+001,2.100000e+001,1.906741e+001,1.906741e+001,1.932588e+000
1.070000e+001,2.100000e+001,1.908387e+001,1.908387e+001,1.916132e+000
1.072000e+001,1.800000e+001,1.910029e+001,1.910029e+001,-1.100295e+000
1.074000e+001,1.700000e+001,1.911669e+001,1.911669e+001,-2.116692e+000
1.076000e+001,1.400000e+001,1.913306e+001,1.913306e+001,-5.133060e+000
1.078000e+001,2.200000e+001,1.914940e+001,1.914940e+001,2.850602e+000
1.080000e+001,1.700000e+001,1.916571e+001,1.916571e+001,-2.165708e+000
1.082000e+001,2.300000e+001,1.918199e+001,1.918199e+001,3.818012e+000
1.084000e+001,1.700000e+001,1.919824e+001,1.919824e+001,-2.198239e+000
1.086000e+001,1.800000e+001,1.921446e+001,1.921446e+001,-1.214460e+000
1.088000e+001,1.200000e+001,1.923065e+001,1.923065e+001,-7.230652e+000
1.090000e+001,1.700000e+001,1.924682e+001,1.924682e+001,-2.246815e+000
1.092000e+001,1.900000e+001,1.926295e+001,1.926295e+001,-2.629490e-001
1.094000e+001,1.900000e+001,1.927905e+001,1.927905e+001,-2.790536e-001
1.096000e+001,2.000000e+001,1.929513e+001,1.929513e+001,7.048710e-001
1.098000e+001,2.000000e+001,1.931118e+001,1.931118e+001,6.888247e-001
1.100000e+001,2.100000e+001,1.932719e+001,1.932719e+001,1.672808e+000
1.102000e+001,2.400000e+001,1.934318e+001,1.934318e+001,4.656820e+000
1.104000e+001,1.900000e+001,1.935914e+001,1.935914e+001,-3.591393e-001
1.106000e+001,2.200000e+001,1.937507e+001,1.937507e+001,2.624931e+000
1.108000e+001,1.800000e+001,1.939097e+001,1.939097e+001,-1.390970e+000
1.110000e+001,1.500000e+001,1.940684e+001,1.940684e+001,-4.406841e+000
1.112000e+001,1.700000e+001,1.942268e+001,1.942268e+001,-2.422684e+000
1.114000e+001,1.900000e+001,1.943850e+001,1.943850e+001,-4.384977e-001
1.116000e+001,1.700000e+001,1.945428e+001,1.945428e+001,-2.454282e+000
1.118000e+001,1.400000e+001,1.947004e+001,1.947004e+001,-5.470038e+000
1.120000e+001,1.600000e+001,1.948576e+001,1.948576e+001,-3.485765e+000
1.122000e+001,1.700000e+001,1.950146e+001,1.950146e+001,-2.501462e+000
1.124000e+001,1.600000e+001,1.951713e+001,1.951713e+001,-3.517131e+000
1.126000e+001,1.900000e+001,1.953277e+001,1.953277e+001,-5.327709e-001
1.128000e+001,1.900000e+001,1.954838e+001,1.954838e+001,-5.483818e-001
1.130000e+001,2.200000e+001,1.956396e+001,1.956396e+001,2.436036e+000
1.132000e+001,2.400000e+001,1.957952e+001,1.957952e+001,4.420483e+000
1.134000e+001,2.200000e+001,1.959504e+001,1.959504e+001,2.404959e+000
1.136000e+001,1.800000e+001,1.961054e+001,1.961054e+001,-1.610537e+000
1.138000e+001,1.400000e+001,1.962600e+001,1.962600e+001,-5.626004e+000
1.140000e+001,2.200000e+001,1.964144e+001,1.964144e+001,2.358558e+000
1.142000e+001,2.300000e+001,1.965685e+001,1.965685e+001,3.343149e+000
1.144000e+001,2.200000e+001,1.967223e+001,1.967223e+001,2.327769e+000
1.146000e+001,1.900000e+001,1.968758e+001,1.968758e+001,-6.875827e-001
1.148000e+001,1.800000e+001,1.970291e+001,1.970291e+001,-1.702906e+000
1.150000e+001,1.900000e+001,1.971820e+001,1.971820e+001,-7.181998e-001
1.152000e+001,1.600000e+001,1.973347e+001,1.973347e+001,-3.733465e+000
1.154000e+001,2.100000e+001,1.974870e+001,1.974870e+001,1.251298e+000
1.156000e+001,2.000000e+001,1.976391e+001,1.976391e+001,2.360898e-001
1.158000e+001,1.700000e+001,1.977909e+001,1.977909e+001,-2.779090e+000
1.160000e+001,1.900000e+001,1.979424e+001,1.979424e+001,-7.942406e-001
1.162000e+001,2.200000e+001,1.980936e+001,1.980936e+001,2.190637e+000
1.164000e+001,2.200000e+001,1.982446e+001,1.982446e+001,2.175543e+000
1.166000e+001,2.400000e+001,1.983952e+001,1.983952e+001,4.160478e+000
1.168000e+001,1.900000e+001,1.985456e+001,1.985456e+001,-8.545583e-001
1.170000e+001,2.100000e+001,1.986957e+001,1.986957e+001,1.130434e+000
1.172000e+001,2.000000e+001,1.988455e+001,1.988455e+001,1.154542e-001
1.174000e+001,1.700000e+001,1.989950e+001,1.989950e+001,-2.899497e+000
1.176000e+001,1.900000e+001,1.991442e+001,1.991442e+001,-9.144194e-001
1.178000e+001,2.100000e+001,1.992931e+001,1.992931e+001,1.070687e+000
1.180000e+001,1.300000e+001,1.994418e+001,1.994418e+001,-6.944179e+000
1.182000e+001,1.900000e+001,1.995902e+001,1.995902e+001,-9.590162e-001
1.184000e+001,1.600000e+001,1.997382e+001,1.997382e+001,-3.973825e+000
1.186000e+001,1.500000e+001,1.998861e+001,1.998861e+001,-4.988605e+000
1.188000e+001,2.000000e+001,2.000336e+001,2.000336e+001,-3.357302e-003
1.190000e+001,1.900000e+001,2.001808e+001,2.001808e+001,-1.018081e+000
1.192000e+001,1.900000e+001,2.003278e+001,2.003278e+001,-1.032776e+000
1.194000e+001,1.900000e+001,2.004744e+001,2.004744e+001,-1.047443e+000
1.196000e+001,1.700000e+001,2.006208e+001,2.006208e+001,-3.062082e+000
1.198000e+001,1.800000e+001,2.007669e+001,2.007669e+001,-2.076692e+000
1.200000e+001,2.000000e+001,2.009127e+001,2.009127e+001,-9.127411e-002
1.202000e+001,1.600000e+001,2.010583e+001,2.010583e+001,-4.105828e+000
1.204000e+001,2.100000e+001,2.012035e+001,2.012035e+001,8.796466e-001
1.206000e+001,2.400000e+001,2.013485e+001,2.013485e+001,3.865149e+000
1.208000e+001,1.500000e+001,2.014932e+001,2.014932e+001,-5.149320e+000
1.210000e+001,1.800000e+001,2.016376e+001,2.016376e+001,-2.163761e+000
1.212000e+001,1.900000e+001,2.017817e+001,2.017817e+001,-1.178174e+000
1.214000e+001,2.000000e+001,2.019256e+001,2.019256e+001,-1.925581e-001
1.216000e+001,2.000000e+001,2.020691e+001,2.020691e+001,-2.069146e-001
1.218000e+001,2.000000e+001,2.022124e+001,2.022124e+001,-2.212429e-001
1.220000e+001,1.800000e+001,2.023554e+001,2.023554e+001,-2.235543e+000
1.222000e+001,2.300000e+001,2.024982e+001,2.024982e+001,2.750185e+000
1.224000e+001,2.100000e+001,2.026406e+001,2.026406e+001,7.359407e-001
1.226000e+001,1.700000e+001,2.027828e+001,2.027828e+001,-3.278275e+000
1.228000e+001,1.900000e+001,2.029246e+001,2.029246e+001,-1.292463e+000
1.230000e+001,1.700000e+001,2.030662e+001,2.030662e+001,-3.306623e+000
