#twotheta, yobs, ycal, bkg, diff
7.000000e+000,2.300000e+001,1.707997e+001,1.707996e+001,5.920030e+000
7.020000e+000,1.700000e+001,1.709392e+001,1.709392e+001,-9.392145e-002
7.040000e+000,2.700000e+001,1.710785e+001,1.710784e+001,9.892150e+000
7.060000e+000,2.000000e+001,1.712176e+001,1.712175e+001,2.878243e+000
7.080000e+000,2.300000e+001,1.713564e+001,1.713563e+001,5.864360e+000
7.100000e+000,1.900000e+001,1.714950e+001,1.714950e+001,1.850499e+000
7.120000e+000,1.400000e+001,1.716334e+001,1.716333e+001,-3.163340e+000
7.140000e+000,1.900000e+001,1.717716e+001,1.717715e+001,1.822844e+000
7.160000e+000,2.100000e+001,1.719095e+001,1.719094e+001,3.809051e+000
7.180000e+000,1.700000e+001,1.720472e+001,1.720471e+001,-2.047192e-001
7.200000e+000,2.200000e+001,1.721847e+001,1.721846e+001,4.781533e+000
7.220000e+000,1.700000e+001,1.723219e+001,1.723218e+001,-2.321926e-001
7.240000e+000,1.800000e+001,1.724590e+001,1.724589e+001,7.541046e-001
7.260000e+000,2.500000e+001,1.725958e+001,1.725957e+001,7.740424e+000
7.280000e+000,2.700000e+001,1.727323e+001,1.727322e+001,9.726767e+000
7.300000e+000,2.000000e+001,1.728687e+001,1.728686e+001,2.713131e+000
7.320000e+000,1.400000e+001,1.730048e+001,1.730047e+001,-3.300481e+000
7.340000e+000,1.600000e+001,1.731407e+001,1.731406e+001,-1.314071e+000
7.360000e+000,2.200000e+001,1.732764e+001,1.732763e+001,4.672361e+000
7.380000e+000,1.700000e+001,1.734118e+001,1.734117e+001,-3.411843e-001
7.400000e+000,1.800000e+001,1.735471e+001,1.735470e+001,6.452930e-001
7.420000e+000,1.900000e+001,1.736821e+001,1.736820e+001,1.631793e+000
7.440000e+000,2.200000e+001,1.738169e+001,1.738167e+001,4.618315e+000
7.460000e+000,2.300000e+001,1.739514e+001,1.739513e+001,5.604860e+000
7.480000e+000,2.100000e+001,1.740857e+001,1.740856e+001,3.591427e+000
7.500000e+000,1.900000e+001,1.742198e+001,1.742197e+001,1.578016e+000
7.520000e+000,2.200000e+001,1.743537e+001,1.743536e+001,4.564628e+000
7.540000e+000,1.800000e+001,1.744874e+001,1.744872e+001,5.512623e-001
7.560000e+000,2.000000e+001,1.746208e+001,1.746207e+001,2.537919e+000
7.580000e+000,1.400000e+001,1.747540e+001,1.747539e+001,-3.475402e+000
7.600000e+000,2.100000e+001,1.748870e+001,1.748869e+001,3.511299e+000
7.620000e+000,1.700000e+001,1.750198e+001,1.750196e+001,-5.019770e-001
7.640000e+000,1.800000e+001,1.751523e+001,1.751521e+001,4.847690e-001
7.660000e+000,1.700000e+001,1.752846e+001,1.752845e+001,-5.284626e-001
7.680000e+000,1.900000e+001,1.754167e+001,1.754165e+001,1.458328e+000
7.700000e+000,2.100000e+001,1.755486e+001,1.755484e+001,3.445141e+000
7.720000e+000,1.700000e+001,1.756802e+001,1.756801e+001,-5.680237e-001
7.740000e+000,2.800000e+001,1.758117e+001,1.758115e+001,1.041883e+001
7.760000e+000,2.000000e+001,1.759429e+001,1.759427e+001,2.405714e+000
7.780000e+000,2.300000e+001,1.760738e+001,1.760736e+001,5.392616e+000
7.800000e+000,1.700000e+001,1.762046e+001,1.762044e+001,-6.204602e-001
7.820000e+000,2.100000e+001,1.763351e+001,1.763349e+001,3.366486e+000
7.840000e+000,2.000000e+001,1.764655e+001,1.764652e+001,2.353455e+000
7.860000e+000,2.100000e+001,1.765955e+001,1.765953e+001,3.340446e+000
7.880000e+000,1.700000e+001,1.767254e+001,1.767252e+001,-6.725411e-001
