#twotheta, yobs, ycal, bkg, diff
1.056000e+001,6.000000e+000,9.036182e+000,9.036182e+000,-3.036182e+000
1.058000e+001,1.200000e+001,9.032436e+000,9.032436e+000,2.967564e+000
1.060000e+001,1.200000e+001,9.028754e+000,9.028754e+000,2.971246e+000
1.062000e+001,1.200000e+001,9.025135e+000,9.025135e+000,2.974865e+000
1.064000e+001,1.200000e+001,9.021579e+000,9.021579e+000,2.978421e+000
1.066000e+001,9.000000e+000,9.018086e+000,9.018086e+000,-1.808615e-002
1.068000e+001,1.000000e+001,9.014656e+000,9.014656e+000,9.853441e-001
1.070000e+001,8.000000e+000,9.011288e+000,9.011288e+000,-1.011288e+000
1.072000e+001,1.000000e+001,9.007982e+000,9.007982e+000,9.920184e-001
1.074000e+001,8.000000e+000,9.004737e+000,9.004737e+000,-1.004737e+000
1.076000e+001,1.100000e+001,9.001554e+000,9.001554e+000,1.998446e+000
1.078000e+001,1.300000e+001,8.998431e+000,8.998431e+000,4.001569e+000
1.080000e+001,1.400000e+001,8.995370e+000,8.995370e+000,5.004630e+000
1.082000e+001,8.000000e+000,8.992368e+000,8.992368e+000,-9.923682e-001
1.084000e+001,1.200000e+001,8.989427e+000,8.989427e+000,3.010573e+000
1.086000e+001,9.000000e+000,8.986545e+000,8.986545e+000,1.345501e-002
1.088000e+001,1.000000e+001,8.983723e+000,8.983723e+000,1.016277e+000
1.090000e+001,1.000000e+001,8.980959e+000,8.980959e+000,1.019041e+000
1.092000e+001,9.000000e+000,8.978255e+000,8.978255e+000,2.174544e-002
1.094000e+001,8.000000e+000,8.975608e+000,8.975608e+000,-9.756083e-001
1.096000e+001,1.000000e+001,8.973020e+000,8.973020e+000,1.026980e+000
1.098000e+001,1.000000e+001,8.970490e+000,8.970490e+000,1.029510e+000
1.100000e+001,8.000000e+000,8.968017e+000,8.968017e+000,-9.680168e-001
1.102000e+001,4.000000e+000,8.965601e+000,8.965601e+000,-4.965601e+000
1.104000e+001,4.000000e+000,8.963242e+000,8.963242e+000,-4.963242e+000
1.106000e+001,1.300000e+001,8.960939e+000,8.960939e+000,4.039061e+000
1.108000e+001,1.200000e+001,8.958693e+000,8.958693e+000,3.041307e+000
1.110000e+001,9.000000e+000,8.956502e+000,8.956502e+000,4.349758e-002
1.112000e+001,9.000000e+000,8.954367e+000,8.954367e+000,4.563257e-002
1.114000e+001,1.200000e+001,8.952288e+000,8.952288e+000,3.047712e+000
1.116000e+001,8.000000e+000,8.950263e+000,8.950263e+000,-9.502628e-001
1.118000e+001,6.000000e+000,8.948292e+000,8.948292e+000,-2.948292e+000
1.120000e+001,7.000000e+000,8.946376e+000,8.946376e+000,-1.946376e+000
1.122000e+001,8.000000e+000,8.944514e+000,8.944514e+000,-9.445143e-001
1.124000e+001,1.100000e+001,8.942706e+000,8.942706e+000,2.057294e+000
1.126000e+001,1.000000e+001,8.940951e+000,8.940951e+000,1.059049e+000
1.128000e+001,1.000000e+001,8.939248e+000,8.939248e+000,1.060752e+000
1.130000e+001,1.100000e+001,8.937599e+000,8.937599e+000,2.062401e+000
1.132000e+001,1.200000e+001,8.936002e+000,8.936002e+000,3.063998e+000
1.134000e+001,6.000000e+000,8.934457e+000,8.934457e+000,-2.934457e+000
1.136000e+001,1.000000e+001,8.932963e+000,8.932963e+000,1.067037e+000
1.138000e+001,8.000000e+000,8.931521e+000,8.931521e+000,-9.315210e-001
1.140000e+001,9.000000e+000,8.930130e+000,8.930130e+000,6.986994e-002
1.142000e+001,9.000000e+000,8.928790e+000,8.928790e+000,7.121017e-002
1.144000e+001,8.000000e+000,8.927500e+000,8.927500e+000,-9.275000e-001
1.146000e+001,7.000000e+000,8.926260e+000,8.926260e+000,-1.926260e+000
1.148000e+001,9.000000e+000,8.925070e+000,8.925070e+000,7.492951e-002
1.150000e+001,8.000000e+000,8.923930e+000,8.923930e+000,-9.239301e-001
1.152000e+001,7.000000e+000,8.922839e+000,8.922839e+000,-1.922839e+000
1.154000e+001,6.000000e+000,8.921796e+000,8.921796e+000,-2.921796e+000
1.156000e+001,1.000000e+001,8.920803e+000,8.920803e+000,1.079197e+000
1.158000e+001,7.000000e+000,8.919857e+000,8.919857e+000,-1.919857e+000
1.160000e+001,6.000000e+000,8.918959e+000,8.918959e+000,-2.918959e+000
1.162000e+001,1.000000e+001,8.918109e+000,8.918109e+000,1.081891e+000
1.164000e+001,1.000000e+001,8.917306e+000,8.917306e+000,1.082694e+000
1.166000e+001,9.000000e+000,8.916550e+000,8.916550e+000,8.344999e-002
1.168000e+001,8.000000e+000,8.915841e+000,8.915841e+000,-9.158406e-001
1.170000e+001,1.100000e+001,8.915178e+000,8.915178e+000,2.084822e+000
1.172000e+001,1.700000e+001,8.914560e+000,8.914560e+000,8.085440e+000
1.174000e+001,1.300000e+001,8.913989e+000,8.913989e+000,4.086011e+000
1.176000e+001,9.000000e+000,8.913463e+000,8.913463e+000,8.653723e-002
1.178000e+001,9.000000e+000,8.912982e+000,8.912982e+000,8.701834e-002
1.180000e+001,1.200000e+001,8.912545e+000,8.912545e+000,3.087455e+000
1.182000e+001,1.200000e+001,8.912153e+000,8.912153e+000,3.087847e+000
1.184000e+001,8.000000e+000,8.911805e+000,8.911805e+000,-9.118053e-001
1.186000e+001,1.100000e+001,8.911501e+000,8.911501e+000,2.088499e+000
1.188000e+001,1.200000e+001,8.911240e+000,8.911240e+000,3.088760e+000
1.190000e+001,7.000000e+000,8.911023e+000,8.911023e+000,-1.911023e+000
1.192000e+001,8.000000e+000,8.910848e+000,8.910848e+000,-9.108477e-001
1.194000e+001,7.000000e+000,8.910715e+000,8.910715e+000,-1.910715e+000
1.196000e+001,6.000000e+000,8.910625e+000,8.910625e+000,-2.910625e+000
1.198000e+001,7.000000e+000,8.910577e+000,8.910577e+000,-1.910577e+000
1.200000e+001,6.000000e+000,8.910570e+000,8.910570e+000,-2.910570e+000
1.202000e+001,1.000000e+001,8.910604e+000,8.910604e+000,1.089396e+000
1.204000e+001,7.000000e+000,8.910679e+000,8.910679e+000,-1.910679e+000
1.206000e+001,8.000000e+000,8.910795e+000,8.910795e+000,-9.107950e-001
1.208000e+001,7.000000e+000,8.910951e+000,8.910951e+000,-1.910951e+000
1.210000e+001,7.000000e+000,8.911147e+000,8.911147e+000,-1.911147e+000
1.212000e+001,1.000000e+001,8.911382e+000,8.911382e+000,1.088618e+000
1.214000e+001,8.000000e+000,8.911657e+000,8.911657e+000,-9.116572e-001
1.216000e+001,7.000000e+000,8.911971e+000,8.911971e+000,-1.911971e+000
1.218000e+001,7.000000e+000,8.912323e+000,8.912323e+000,-1.912323e+000
1.220000e+001,1.100000e+001,8.912714e+000,8.912714e+000,2.087286e+000
1.222000e+001,1.100000e+001,8.913143e+000,8.913143e+000,2.086857e+000
1.224000e+001,1.300000e+001,8.913609e+000,8.913609e+000,4.086391e+000
1.226000e+001,9.000000e+000,8.914113e+000,8.914113e+000,8.588674e-002
1.228000e+001,7.000000e+000,8.914654e+000,8.914654e+000,-1.914654e+000
1.230000e+001,5.000000e+000,8.915232e+000,8.915232e+000,-3.915232e+000
1.232000e+001,7.000000e+000,8.915846e+000,8.915846e+000,-1.915846e+000
1.234000e+001,8.000000e+000,8.916496e+000,8.916496e+000,-9.164960e-001
1.236000e+001,1.000000e+001,8.917182e+000,8.917182e+000,1.082818e+000
1.238000e+001,1.000000e+001,8.917903e+000,8.917903e+000,1.082097e+000
1.240000e+001,8.000000e+000,8.918660e+000,8.918660e+000,-9.186600e-001
1.242000e+001,8.000000e+000,8.919451e+000,8.919451e+000,-9.194514e-001
1.244000e+001,7.000000e+000,8.920277e+000,8.920277e+000,-1.920277e+000
1.246000e+001,1.000000e+001,8.921137e+000,8.921137e+000,1.078863e+000
1.248000e+001,1.000000e+001,8.922031e+000,8.922031e+000,1.077969e+000
1.250000e+001,9.000000e+000,8.922959e+000,8.922959e+000,7.704115e-002
1.252000e+001,1.000000e+001,8.923920e+000,8.923920e+000,1.076080e+000
1.254000e+001,8.000000e+000,8.924913e+000,8.924913e+000,-9.249133e-001
1.256000e+001,1.300000e+001,8.925940e+000,8.925940e+000,4.074060e+000
1.258000e+001,1.200000e+001,8.926998e+000,8.926998e+000,3.073002e+000
1.260000e+001,1.000000e+001,8.928089e+000,8.928089e+000,1.071911e+000
1.262000e+001,1.100000e+001,8.929211e+000,8.929211e+000,2.070789e+000
1.264000e+001,7.000000e+000,8.930364e+000,8.930364e+000,-1.930364e+000
1.266000e+001,6.000000e+000,8.931549e+000,8.931549e+000,-2.931549e+000
1.268000e+001,1.300000e+001,8.932764e+000,8.932764e+000,4.067236e+000
1.270000e+001,9.000000e+000,8.934010e+000,8.934010e+000,6.599050e-002
1.272000e+001,7.000000e+000,8.935285e+000,8.935285e+000,-1.935285e+000
1.274000e+001,1.100000e+001,8.936590e+000,8.936590e+000,2.063410e+000
1.276000e+001,1.100000e+001,8.937925e+000,8.937925e+000,2.062075e+000
1.278000e+001,1.000000e+001,8.939289e+000,8.939289e+000,1.060711e+000
1.280000e+001,8.000000e+000,8.940682e+000,8.940682e+000,-9.406816e-001
1.282000e+001,1.000000e+001,8.942103e+000,8.942103e+000,1.057897e+000
1.284000e+001,1.000000e+001,8.943552e+000,8.943552e+000,1.056448e+000
1.286000e+001,8.000000e+000,8.945029e+000,8.945029e+000,-9.450290e-001
1.288000e+001,6.000000e+000,8.946534e+000,8.946534e+000,-2.946534e+000
1.290000e+001,7.000000e+000,8.948065e+000,8.948065e+000,-1.948065e+000
