#twotheta, yobs, ycal, bkg, diff
1.056000e+001,3.000000e+001,3.720596e+001,2.749826e+001,-7.205956e+000
1.058000e+001,2.900000e+001,3.738201e+001,2.760641e+001,-8.382007e+000
1.060000e+001,4.000000e+001,3.756222e+001,2.771787e+001,2.437781e+000
1.062000e+001,3.400000e+001,3.774658e+001,2.783262e+001,-3.746583e+000
1.064000e+001,3.900000e+001,3.793509e+001,2.795062e+001,1.064911e+000
1.066000e+001,3.800000e+001,3.812773e+001,2.807185e+001,-1.277276e-001
1.068000e+001,3.700000e+001,3.832449e+001,2.819629e+001,-1.324490e+000
1.070000e+001,4.300000e+001,3.852537e+001,2.832391e+001,4.474633e+000
1.072000e+001,3.900000e+001,3.873035e+001,2.845467e+001,2.696492e-001
1.074000e+001,4.400000e+001,3.893943e+001,2.858857e+001,5.060566e+000
1.076000e+001,4.200000e+001,3.915261e+001,2.872556e+001,2.847391e+000
1.078000e+001,4.400000e+001,3.936987e+001,2.886562e+001,4.630131e+000
1.080000e+001,3.500000e+001,3.959121e+001,2.900874e+001,-4.591208e+000
1.082000e+001,3.600000e+001,3.981662e+001,2.915487e+001,-3.816619e+000
1.084000e+001,4.200000e+001,4.004610e+001,2.930399e+001,1.953902e+000
1.086000e+001,3.800000e+001,4.027964e+001,2.945609e+001,-2.279639e+000
1.088000e+001,2.900000e+001,4.051724e+001,2.961112e+001,-1.151724e+001
1.090000e+001,3.500000e+001,4.075889e+001,2.976908e+001,-5.758891e+000
1.092000e+001,4.400000e+001,4.100459e+001,2.992992e+001,2.995405e+000
1.094000e+001,4.000000e+001,4.125435e+001,3.009362e+001,-1.254346e+000
1.096000e+001,3.800000e+001,4.150814e+001,3.026016e+001,-3.508142e+000
1.098000e+001,3.900000e+001,4.176598e+001,3.042950e+001,-2.765982e+000
1.100000e+001,4.300000e+001,4.202787e+001,3.060164e+001,9.721350e-001
1.102000e+001,4.000000e+001,4.229379e+001,3.077653e+001,-2.293789e+000
1.104000e+001,3.800000e+001,4.256376e+001,3.095415e+001,-4.563756e+000
1.106000e+001,4.200000e+001,4.283777e+001,3.113447e+001,-8.377650e-001
1.108000e+001,3.900000e+001,4.311582e+001,3.131748e+001,-4.115818e+000
1.110000e+001,3.800000e+001,4.339792e+001,3.150314e+001,-5.397917e+000
1.112000e+001,4.100000e+001,4.368406e+001,3.169142e+001,-2.684065e+000
